model,task,n_seeds,seeds,score_key,mean,std,min,max,values
gram-t-ambi-7ch,beijing_opera-v1.0-hear2021-full,2,"1,2",test_score_mean,95.76684474945068,0.5829870097202693,95.35461068153381,96.17907881736755,96.1791 95.3546
gram-t-ambi-7ch,dcase2016_task2-hear2021-full,2,"1,2",test_score,95.27334868907928,0.18062031929343636,95.14563083648682,95.40106654167175,95.4011 95.1456
gram-t-ambi-7ch,esc50-v2.0.0-full,2,"1,2",test_score_mean,87.35000014305115,0.4242636641021828,87.05000042915344,87.64999985694885,87.6500 87.0500
gram-t-ambi-7ch,fsd50k-v1.0-full,2,"1,2",test_score,55.996108094844885,0.11943340891897433,55.91165592149805,56.08056026819172,55.9117 56.0806
gram-t-ambi-7ch,libricount-v1.0.0-hear2021-full,2,"1,2",test_score_mean,81.26748204231262,0.1359825920355485,81.17132782936096,81.36363625526428,81.3636 81.1713
gram-t-ambi-7ch,mridangam_stroke-v1.5-full,2,"1,2",test_score_mean,97.6136577129364,0.09117374857270641,97.54918813705444,97.67812728881836,97.5492 97.6781
gram-t-ambi-7ch,mridangam_tonic-v1.5-full,2,"1,2",test_score_mean,98.51653397083282,0.11147925724828493,98.43770623207092,98.59536170959473,98.5954 98.4377
gram-t-ambi-7ch,nsynth_pitch-v2.2.3-5h,2,"1,2",test_score,75.69999992847443,1.2727884634956377,74.80000257492065,76.5999972820282,74.8000 76.6000
gram-t-ambi-7ch,speech_commands-v0.0.2-5h,2,"1,2",test_score,94.02863085269928,0.8386927825728336,93.43558549880981,94.62167620658875,93.4356 94.6217
gram-t-ambi-7ch,tfds_crema_d-1.0.0-full,2,"1,2",test_score_mean,75.51775753498077,0.6084040881832491,75.08755087852478,75.94796419143677,75.9480 75.0876
gram-t-ambi-7ch,vox_lingua_top10-hear2021-full,2,"1,2",test_score_mean,58.18424642086029,1.0949591085105979,57.409993410110474,58.958499431610115,58.9585 57.4100
gram-t-mono-1ch,beijing_opera-v1.0-hear2021-full,2,"1,2",test_score_mean,95.97517788410187,0.28835946520486455,95.77127695083618,96.17907881736755,95.7713 96.1791
gram-t-mono-1ch,dcase2016_task2-hear2021-full,2,"1,2",test_score,94.83760595321655,0.2070168905158093,94.69122290611267,94.98398900032043,94.6912 94.9840
gram-t-mono-1ch,esc50-v2.0.0-full,2,"1,2",test_score_mean,87.72500038146973,0.4596198123810016,87.40000009536743,88.05000066757202,87.4000 88.0500
gram-t-mono-1ch,fsd50k-v1.0-full,2,"1,2",test_score,57.02741123680072,0.2873457945980039,56.82422707689503,57.2305953967064,56.8242 57.2306
gram-t-mono-1ch,libricount-v1.0.0-hear2021-full,2,"1,2",test_score_mean,81.14510536193848,0.38322274889621466,80.87412595748901,81.41608476638794,80.8741 81.4161
gram-t-mono-1ch,mridangam_stroke-v1.5-full,2,"1,2",test_score_mean,97.38434970378876,0.11149443011374885,97.3055112361908,97.46318817138672,97.4632 97.3055
gram-t-mono-1ch,mridangam_tonic-v1.5-full,2,"1,2",test_score_mean,98.2872623205185,0.07092050198928139,98.23711395263672,98.33741068840027,98.3374 98.2371
gram-t-mono-1ch,nsynth_pitch-v2.2.3-5h,2,"1,2",test_score,75.20000040531158,0.28284328567175876,75.0,75.40000081062317,75.0000 75.4000
gram-t-mono-1ch,speech_commands-v0.0.2-5h,2,"1,2",test_score,93.59918236732483,0.6651699925686317,93.12883615493774,94.06952857971191,94.0695 93.1288
gram-t-mono-1ch,tfds_crema_d-1.0.0-full,2,"1,2",test_score_mean,75.45726954936981,0.04747505309964126,75.42369961738586,75.49083948135376,75.4908 75.4237
gram-t-mono-1ch,vox_lingua_top10-hear2021-full,2,"1,2",test_score_mean,55.91911256313324,1.3861752871075208,54.9389386177063,56.899286508560174,54.9389 56.8993
